rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1511986242492136769,,807,,0,0,'',,0,0,41.3936444,-73.9555505,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986242633055631,,808,,0,0,'',,0,0,41.3936459,-73.9555556,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986243209032141,,809,,0,0,'',,0,0,41.3936469,-73.9555678,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986243691832549,,810,,0,0,'',,0,0,41.3936471,-73.9555773,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986244178034093,,811,,0,0,'',,0,0,41.3936464,-73.9555817,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986244680795936,,812,,0,0,'',,0,0,41.3936458,-73.9555854,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986245208424401,,813,,0,0,'',,0,0,41.3936494,-73.955592,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986245709622113,,814,,0,0,'',,0,0,41.3936571,-73.9555956,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986246185565653,,815,,0,0,'',,0,0,41.3936636,-73.955598,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986246687895219,,816,,0,0,'',,0,0,41.3936656,-73.9555979,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986247210010513,,817,,0,0,'',,0,0,41.3936678,-73.9555977,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986247698385164,,818,,0,0,'',,0,0,41.3936705,-73.9555982,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986248206718732,,819,,0,0,'',,0,0,41.3936708,-73.9555997,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986248702712463,,820,,0,0,'',,0,0,41.3936707,-73.9555999,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986249202547936,,821,,0,0,'',,0,0,41.3936742,-73.9555998,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986249706118235,,822,,0,0,'',,0,0,41.3936785,-73.9555996,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986250207763688,,823,,0,0,'',,0,0,41.3936793,-73.9555992,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986250707340926,,824,,0,0,'',,0,0,41.3936795,-73.9555962,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986251203602793,,825,,0,0,'',,0,0,41.3936816,-73.9555957,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986251705372878,,826,,0,0,'',,0,0,41.3936831,-73.9555981,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986252011940780,,827,,0,0,'',,0,0,41.3936831,-73.9555998,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986252206984471,,828,,0,0,'',,0,0,41.3936827,-73.9556004,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986252641989955,,829,,0,0,'',,0,0,41.3936792,-73.9555986,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986253177502581,,830,,0,0,'',,0,0,41.3936767,-73.9555906,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986253672821699,,831,,0,0,'',,0,0,41.3936763,-73.9555843,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986253990456310,,832,,0,0,'',,0,0,41.3936759,-73.9555828,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986254207299127,,833,,0,0,'',,0,0,41.393675,-73.9555799,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986254636556401,,834,,0,0,'',,0,0,41.3936719,-73.9555711,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
